source,date,headline,snippet,url
The Guardian,2024-12-31,Trump v the world: Inside the 3 January Guardian Weekly,Global leaders pivot to face Trump 2.0. <strong>Plus</strong> South Korea latest,https://www.theguardian.com/news/2024/dec/31/trump-v-the-world-inside-the-3-january-guardian-weekly
The Guardian,2024-12-31,South Korea plane crash investigators turn to black boxes in search for vital clues,Experts hope flight recorders will provide answers to key questions surrounding crash in which 179 died,https://www.theguardian.com/world/2024/dec/31/south-korea-plane-crash-investigators-turn-to-black-boxes-in-search-for-vital-clues
The Guardian,2024-12-31,South Korea plane crash investigations focus on role of airport embankment,Jeju Air flight burst into flames when it hit barrier at end of runway after crash-landing at Muan international,https://www.theguardian.com/world/2024/dec/31/south-korea-plane-crash-cause-investigation-muan-airport-embankment
The Guardian,2024-12-31,‘Sex strikes’ aren’t the feminist win they appear to be. Here’s how to get really radical,"The problem with the 4B movement is that it plays into the idea that sex is labour: work women do for men, writes the sociologist Finn Mackay",https://www.theguardian.com/commentisfree/2024/dec/31/sex-strikes-feminism-radical-4b-movement-women-men
The Guardian,2024-12-31,Green light: the boss of GB Railfreight with an eye on the environment,"Teenage trainspotting, plus a passion for the railway that matches his love for Sunderland AFC, have transported John Smith to a successful career",https://www.theguardian.com/business/2024/dec/31/green-light-the-boss-of-gb-railfreight-with-an-eye-on-the-environment
The Guardian,2024-12-31,Fighting for change: why the road to parliament is still rocky for women across Africa,"In a critical year for elections on the continent, three women who took office in 2024 talk about the obstacles they see in politics and where gains are being made",https://www.theguardian.com/global-development/2024/dec/31/fighting-for-change-why-road-to-parliament-is-still-rocky-for-women-in-africa
The Guardian,2024-12-31,Tuesday briefing: How public celebrations like New Year’s Eve became private events,"In today’s newsletter: Gatherings in public spaces have become increasingly restricted, with barriers, tickets and security guards now the norm. What does it say about authorities’ attitude to crowds?",https://www.theguardian.com/world/2024/dec/31/first-edition-crowds-dan-hancox
The Guardian,2024-12-31,How a batch of tinned meat fostered fears of the millennium bug,Computer system errors led to huge costs for countries as they prepared for potential disaster,https://www.theguardian.com/us-news/2024/dec/31/how-a-batch-of-tinned-meat-fostered-fears-of-the-millennium-bug
The Guardian,2024-12-31,South Korean court issues arrest warrant for President Yoon Suk Yeol,The warrant was sought over Yoon’s controversial and short-lived decision to impose martial law early in December,https://www.theguardian.com/world/2024/dec/31/arrest-warrant-south-korea-president-yoon-suk-yeol-martial-law-ntwnfb
The Guardian,2024-12-31,Ukraine war briefing: US grants $6bn in aid to Ukraine before Trump inauguration,"Aid package includes weapons and economic assistance to pay for critical government services; Ukraine foreign minister visits Syria. What we know on day 1,042",https://www.theguardian.com/world/2024/dec/31/ukraine-war-briefing-us-grants-6bn-in-aid-to-ukraine-before-trump-inauguration
The Guardian,2024-12-30,South Korea launches safety inspection of all airline operations after Jeju Air crash,Authorities announce investigation as shocked citizens enter second day of official mourning,https://www.theguardian.com/world/2024/dec/30/south-korea-emergency-safety-inspection-airline-operations-jeju-air-crash
The Guardian,2024-12-30,Japan’s Nikkei and Germany’s DAX share indices both post 19% gains in 2024 – as it happened,Rolling coverage of the latest economic and financial news,https://www.theguardian.com/business/live/2024/dec/30/pub-closures-england-wales-mexico-tequila-lake-stock-market-business-live
The Guardian,2024-12-30,What we know about Boeing 737-800 model that crashed in South Korea,Investigators are trying to work out what caused fatal accident in which 179 people died,https://www.theguardian.com/world/2024/dec/30/what-we-know-about-boeing-737-800-model-that-crashed-in-south-korea-jeju-air
The Guardian,2024-12-30,Here’s a tip for the world’s politicians: sorry shouldn’t be the hardest word,"There is a clear benefit in taking responsibility for mistakes. So why do so many leaders fob off the public with obfuscation, asks Guardian columnist Simon Jenkins",https://www.theguardian.com/commentisfree/2024/dec/30/world-politicians-leaders-public-apologise
The Guardian,2024-12-30,"From Panama to Palestine, Jimmy Carter refused to let his moral voice be silenced","Carter signed treaties to hand over the Panama Canal and criticized Israel, drawing respect and fury past his one term",https://www.theguardian.com/us-news/2024/dec/30/jimmy-carter-foreign-policy-
The Guardian,2024-12-30,South Korea plane crash: bereaved families demand more support from government – as it happened,Relatives’ representative also says Jeju Air must do everything it can to help families financially,https://www.theguardian.com/world/live/2024/dec/30/south-korea-plane-crash-news-jeju-air-flight-2216-airlines-muan-airport-live-updates
The Guardian,2024-12-30,Jack Bond obituary,Film director and producer who worked with Salvador Dalí and the Pet Shop Boys,https://www.theguardian.com/film/2024/dec/30/jack-bond-obituary
